Transaction Date,Product Name,Quantity Sold,Revenue,Profit Margin,Store Location
2023-01-02,Bananas,61,153.72,18.05,Phoenix
2023-01-02,Chicken,68,748.0,6.36,Phoenix
2023-01-02,Soda,35,411.95,15.29,Phoenix
2023-01-02,Chips,17,104.72,8.23,Phoenix
2023-01-02,Bread,68,1102.96,12.3,Phoenix
2023-01-03,Milk,60,801.6,16.33,New York
2023-01-03,Bananas,35,489.65,15.37,New York
2023-01-03,Chicken,50,287.0,9.42,New York
2023-01-03,Soda,76,459.04,7.02,New York
2023-01-03,Chips,89,650.59,20.34,New York
2023-01-03,Bread,23,278.76,14.65,New York
2023-01-03,Milk,52,891.28,16.74,Los Angeles
2023-01-03,Bananas,11,66.44,17.76,Los Angeles
2023-01-03,Chicken,60,498.6,10.52,Los Angeles
2023-01-03,Soda,72,1175.76,19.96,Los Angeles
2023-01-03,Chips,61,703.33,12.34,Los Angeles
2023-01-03,Bread,82,988.92,15.42,Los Angeles
2023-01-03,Milk,19,315.97,7.38,Chicago
2023-01-03,Bananas,71,426.0,8.53,Chicago
2023-01-03,Chicken,71,1014.59,6.56,Chicago
2023-01-03,Soda,92,393.76,10.85,Chicago
2023-01-03,Chips,55,311.3,17.44,Chicago
2023-01-03,Bread,76,760.0,12.31,Chicago
2023-01-03,Milk,11,43.89,14.37,Houston
2023-01-03,Bananas,26,190.06,21.57,Houston
2023-01-03,Chicken,66,744.48,17.47,Houston
2023-01-03,Soda,49,604.66,10.86,Houston
2023-01-03,Chips,27,466.56,24.93,Houston
2023-01-03,Bread,35,362.95,21.6,Houston
2023-01-03,Milk,71,1372.43,9.73,Phoenix
2023-01-03,Bananas,57,602.49,9.6,Phoenix
2023-01-03,Chicken,46,594.32,21.87,Phoenix
2023-01-03,Soda,83,820.87,6.99,Phoenix
2023-01-03,Chips,42,210.0,8.32,Phoenix
2023-01-03,Bread,64,912.0,12.61,Phoenix
2023-01-04,Milk,70,1179.5,23.93,New York
2023-01-04,Bananas,27,156.06,23.84,New York
2023-01-04,Chicken,79,1565.78,14.68,New York
2023-01-04,Soda,58,513.3,11.17,New York
2023-01-04,Chips,62,942.4,14.07,New York
2023-01-04,Bread,24,329.04,10.78,New York
2023-01-04,Milk,21,317.73,6.4,Los Angeles
2023-01-04,Bananas,59,1165.25,21.08,Los Angeles
2023-01-04,Chicken,60,358.8,7.36,Los Angeles
2023-01-04,Soda,56,527.52,20.99,Los Angeles
2023-01-04,Chips,19,362.71,22.56,Los Angeles
2023-01-04,Bread,78,492.96,8.52,Los Angeles
2023-01-04,Milk,27,506.25,12.8,Chicago
2023-01-04,Bananas,73,1303.78,10.67,Chicago
2023-01-04,Chicken,58,755.74,11.63,Chicago
2023-01-04,Soda,53,786.52,19.81,Chicago
2023-01-04,Chips,87,657.72,18.42,Chicago
2023-01-04,Bread,34,461.38,9.13,Chicago
2023-01-04,Milk,48,524.64,22.74,Houston
2023-01-04,Bananas,34,655.52,19.03,Houston
2023-01-04,Chicken,17,201.11,10.05,Houston
2023-01-04,Soda,39,376.35,15.38,Houston
2023-01-04,Chips,98,908.46,9.66,Houston
2023-01-04,Bread,47,637.79,14.16,Houston
2023-01-04,Milk,68,1005.04,23.31,Phoenix
2023-01-04,Bananas,87,280.14,5.19,Phoenix
2023-01-04,Chicken,10,97.3,6.69,Phoenix
2023-01-04,Soda,95,1280.6,14.04,Phoenix
2023-01-04,Chips,53,712.85,19.96,Phoenix
2023-01-04,Bread,54,691.74,7.53,Phoenix
2023-01-05,Milk,84,1228.92,7.28,New York
2023-01-05,Bananas,55,526.35,7.79,New York
2023-01-05,Chicken,86,1216.04,11.87,New York
2023-01-05,Soda,81,818.1,20.89,New York
2023-01-05,Chips,45,455.4,8.01,New York
2023-01-05,Bread,82,390.32,9.63,New York
2023-01-05,Milk,59,587.64,16.02,Los Angeles
2023-01-05,Bananas,25,253.75,12.7,Los Angeles
2023-01-05,Chicken,27,446.85,8.96,Los Angeles
2023-01-05,Soda,42,326.34,11.89,Los Angeles
2023-01-05,Chips,18,300.96,20.33,Los Angeles
2023-01-05,Bread,56,113.68,11.57,Los Angeles
2023-01-05,Milk,12,82.92,17.04,Chicago
2023-01-05,Bananas,33,105.93,19.68,Chicago
2023-01-05,Chicken,76,1174.2,12.26,Chicago
2023-01-05,Soda,78,964.08,18.04,Chicago
2023-01-05,Chips,37,509.49,23.23,Chicago
2023-01-05,Bread,68,864.96,5.72,Chicago
2023-01-05,Milk,65,131.3,20.44,Houston
2023-01-05,Bananas,81,615.6,14.54,Houston
2023-01-05,Chicken,65,928.85,19.33,Houston
2023-01-05,Soda,95,510.15,13.43,Houston
2023-01-05,Chips,86,180.6,10.8,Houston
2023-01-05,Bread,12,225.0,9.51,Houston
2023-01-05,Milk,28,499.8,18.86,Phoenix
2023-01-05,Bananas,95,838.85,11.3,Phoenix
2023-01-05,Chicken,82,182.86,8.86,Phoenix
2023-01-05,Soda,79,1269.53,18.66,Phoenix
2023-01-05,Chips,44,451.0,11.95,Phoenix
2023-01-05,Bread,44,205.92,7.33,Phoenix
2023-01-06,Milk,35,117.25,24.78,New York
2023-01-06,Bananas,100,206.0,21.93,New York
2023-01-06,Chicken,96,1572.48,5.73,New York
2023-01-06,Soda,24,263.76,9.93,New York
2023-01-06,Chips,54,344.52,13.29,New York
2023-01-06,Bread,15,153.9,7.54,New York
2023-01-06,Milk,98,514.5,18.51,Los Angeles
2023-01-06,Bananas,35,365.05,22.92,Los Angeles
2023-01-06,Chicken,30,199.2,5.62,Los Angeles
2023-01-06,Soda,12,138.24,21.3,Los Angeles
2023-01-06,Chips,13,231.14,16.8,Los Angeles
2023-01-06,Bread,99,1962.18,7.97,Los Angeles
2023-01-06,Milk,64,474.88,8.84,Chicago
2023-01-06,Bananas,59,257.83,16.68,Chicago
2023-01-06,Chicken,50,510.0,9.1,Chicago
2023-01-06,Soda,89,1488.97,10.51,Chicago
2023-01-06,Chips,81,1411.83,8.14,Chicago
2023-01-06,Bread,27,521.37,11.4,Chicago
2023-01-06,Milk,20,256.2,13.49,Houston
2023-01-06,Bananas,95,539.6,17.14,Houston
2023-01-06,Chicken,92,923.68,8.34,Houston
2023-01-06,Soda,32,112.64,6.57,Houston
2023-01-06,Chips,54,304.56,6.39,Houston
2023-01-06,Bread,96,632.64,15.31,Houston
2023-01-06,Milk,49,676.2,18.97,Phoenix
2023-01-06,Bananas,63,923.58,21.8,Phoenix
2023-01-06,Chicken,67,318.92,10.85,Phoenix
2023-01-06,Soda,31,530.41,19.21,Phoenix
2023-01-06,Chips,43,395.6,9.83,Phoenix
2023-01-06,Bread,81,1474.2,24.37,Phoenix
2023-01-07,Milk,90,1179.0,5.04,New York
2023-01-07,Bananas,91,571.48,5.15,New York
2023-01-07,Chicken,76,456.0,18.25,New York
2023-01-07,Soda,77,1268.96,17.11,New York
2023-01-07,Chips,20,43.6,18.8,New York
2023-01-07,Bread,93,1353.15,16.36,New York
2023-01-07,Milk,38,333.26,21.28,Los Angeles
2023-01-07,Bananas,57,917.13,21.17,Los Angeles
2023-01-07,Chicken,19,366.7,23.77,Los Angeles
2023-01-07,Soda,17,120.36,11.53,Los Angeles
2023-01-07,Chips,72,214.56,5.61,Los Angeles
2023-01-07,Bread,27,220.86,9.45,Los Angeles
2023-01-07,Milk,20,175.4,9.96,Chicago
2023-01-07,Bananas,20,143.4,14.74,Chicago
2023-01-07,Chicken,99,823.68,10.66,Chicago
2023-01-07,Soda,59,1020.11,16.09,Chicago
2023-01-07,Chips,98,1279.88,6.14,Chicago
2023-01-07,Bread,23,438.84,5.51,Chicago
2023-01-07,Milk,100,575.0,8.24,Houston
2023-01-07,Bananas,86,633.82,24.85,Houston
2023-01-07,Chicken,93,1618.2,23.23,Houston
2023-01-07,Soda,18,277.74,22.76,Houston
2023-01-07,Chips,68,920.04,16.45,Houston
2023-01-07,Bread,50,226.0,15.8,Houston
2023-01-07,Milk,48,178.56,17.82,Phoenix
2023-01-07,Bananas,36,147.96,16.09,Phoenix
2023-01-07,Chicken,52,464.36,21.19,Phoenix
2023-01-07,Soda,34,657.56,21.54,Phoenix
2023-01-07,Chips,99,1172.16,17.05,Phoenix
2023-01-07,Bread,99,695.97,22.62,Phoenix
2023-01-08,Milk,49,411.6,22.75,New York
2023-01-08,Bananas,99,1813.68,11.73,New York
2023-01-08,Chicken,90,275.4,14.81,New York
2023-01-08,Soda,58,217.5,13.26,New York
2023-01-08,Chips,10,53.7,22.92,New York
2023-01-08,Bread,97,1787.71,10.15,New York
2023-01-08,Milk,96,1543.68,16.92,Los Angeles
2023-01-08,Bananas,61,1005.89,20.98,Los Angeles
2023-01-08,Chicken,61,1186.45,23.33,Los Angeles
2023-01-08,Soda,53,592.01,24.42,Los Angeles
2023-01-08,Chips,13,82.81,24.12,Los Angeles
2023-01-08,Bread,94,679.62,24.37,Los Angeles
2023-01-08,Milk,22,127.16,18.45,Chicago
2023-01-08,Bananas,27,187.38,14.7,Chicago
2023-01-08,Chicken,15,37.8,8.33,Chicago
2023-01-08,Soda,95,219.45,13.28,Chicago
2023-01-08,Chips,86,1413.84,7.9,Chicago
2023-01-08,Bread,19,179.55,12.58,Chicago
2023-01-08,Milk,49,813.89,10.66,Houston
2023-01-08,Bananas,88,1678.16,14.16,Houston
2023-01-08,Chicken,13,182.65,5.45,Houston
2023-01-08,Soda,45,781.65,5.36,Houston
2023-01-08,Chips,65,484.9,8.53,Houston
2023-01-08,Bread,92,1154.6,18.96,Houston
2023-01-08,Milk,62,369.52,6.68,Phoenix
2023-01-08,Bananas,82,1254.6,20.45,Phoenix
2023-01-08,Chicken,51,993.48,10.25,Phoenix
2023-01-08,Soda,78,867.36,23.06,Phoenix
2023-01-08,Chips,60,605.4,5.23,Phoenix
2023-01-08,Bread,98,447.86,15.7,Phoenix
2023-01-09,Milk,37,386.28,7.45,New York
2023-01-09,Bananas,17,298.18,10.64,New York
2023-01-09,Chicken,16,49.76,16.23,New York
2023-01-09,Soda,15,283.5,20.58,New York
2023-01-09,Chips,24,113.52,20.48,New York
2023-01-09,Bread,34,263.84,24.0,New York
2023-01-09,Milk,24,277.92,6.22,Los Angeles
2023-01-09,Bananas,50,106.0,19.76,Los Angeles
2023-01-09,Chicken,16,295.84,12.95,Los Angeles
2023-01-09,Soda,22,411.4,12.67,Los Angeles
2023-01-09,Chips,50,648.5,8.57,Los Angeles
2023-01-09,Bread,71,222.94,5.05,Los Angeles
2023-01-09,Milk,40,469.2,15.15,Chicago
2023-01-09,Bananas,85,300.05,12.85,Chicago
2023-01-09,Chicken,52,809.64,22.09,Chicago
2023-01-09,Soda,50,810.5,16.63,Chicago
2023-01-09,Chips,61,552.05,6.21,Chicago
2023-01-09,Bread,18,159.3,14.25,Chicago
2023-01-09,Milk,30,306.9,6.53,Houston
2023-01-09,Bananas,77,1274.35,12.03,Houston
2023-01-09,Chicken,87,1198.86,5.78,Houston
2023-01-09,Soda,90,909.9,5.58,Houston
2023-01-09,Chips,65,985.4,7.3,Houston
2023-01-09,Bread,87,411.51,19.06,Houston
2023-01-09,Milk,41,684.29,8.55,Phoenix
2023-01-09,Bananas,75,277.5,15.69,Phoenix
2023-01-09,Chicken,20,331.4,19.19,Phoenix
2023-01-09,Soda,67,763.8,14.25,Phoenix
2023-01-09,Chips,85,1008.95,12.04,Phoenix
2023-01-09,Bread,74,1383.06,10.9,Phoenix
2023-01-10,Milk,91,480.48,5.65,New York
2023-01-10,Bananas,38,182.4,10.99,New York
2023-01-10,Chicken,46,782.0,7.71,New York
2023-01-10,Soda,85,362.95,22.54,New York
2023-01-10,Chips,97,1495.74,6.41,New York
2023-01-10,Bread,37,604.21,23.52,New York
2023-01-10,Milk,95,1426.9,12.98,Los Angeles
2023-01-10,Bananas,55,301.4,23.1,Los Angeles
2023-01-10,Chicken,17,179.52,8.82,Los Angeles
2023-01-10,Soda,71,563.74,7.67,Los Angeles
2023-01-10,Chips,90,1730.7,15.33,Los Angeles
2023-01-10,Bread,67,1039.17,16.57,Los Angeles
2023-01-10,Milk,91,1515.15,10.43,Chicago
2023-01-10,Bananas,34,346.12,9.47,Chicago
2023-01-10,Chicken,68,907.12,16.71,Chicago
2023-01-10,Soda,49,910.42,10.09,Chicago
2023-01-10,Chips,13,152.36,5.69,Chicago
2023-01-10,Bread,63,1233.54,12.79,Chicago
2023-01-10,Milk,29,201.26,17.0,Houston
2023-01-10,Bananas,73,1408.9,14.91,Houston
2023-01-10,Chicken,55,910.25,18.43,Houston
2023-01-10,Soda,64,1224.32,18.93,Houston
2023-01-10,Chips,60,471.0,5.71,Houston
2023-01-10,Bread,45,504.45,24.96,Houston
2023-01-10,Milk,45,598.05,10.5,Phoenix
2023-01-10,Bananas,43,572.33,24.67,Phoenix
2023-01-10,Chicken,61,281.21,20.32,Phoenix
2023-01-10,Soda,100,305.0,6.18,Phoenix
2023-01-10,Chips,47,936.71,17.87,Phoenix
2023-01-10,Bread,96,915.84,23.51,Phoenix
2023-01-11,Milk,19,243.77,24.28,New York
2023-01-11,Bananas,35,331.1,24.42,New York
2023-01-11,Chicken,13,89.96,16.88,New York
2023-01-11,Soda,38,548.72,23.86,New York
2023-01-11,Chips,100,1402.0,14.37,New York
2023-01-11,Bread,31,136.71,13.88,New York
2023-01-11,Milk,55,474.65,7.84,Los Angeles
2023-01-11,Bananas,11,64.79,17.89,Los Angeles
2023-01-11,Chicken,80,1247.2,9.32,Los Angeles
2023-01-11,Soda,82,984.0,17.07,Los Angeles
2023-01-11,Chips,47,397.62,5.73,Los Angeles
2023-01-11,Bread,14,120.54,6.07,Los Angeles
2023-01-11,Milk,56,546.0,17.86,Chicago
2023-01-11,Bananas,73,504.43,12.75,Chicago
2023-01-11,Chicken,37,655.27,18.91,Chicago
2023-01-11,Soda,12,87.6,12.57,Chicago
2023-01-11,Chips,17,174.42,9.22,Chicago
2023-01-11,Bread,32,518.4,14.52,Chicago
2023-01-11,Milk,64,154.24,22.38,Houston
2023-01-11,Bananas,19,309.7,19.79,Houston
2023-01-11,Chicken,26,90.74,11.97,Houston
2023-01-11,Soda,96,919.68,5.37,Houston
2023-01-11,Chips,72,1057.68,11.27,Houston
2023-01-11,Bread,77,947.87,22.35,Houston
2023-01-11,Milk,74,1216.56,12.62,Phoenix
2023-01-11,Bananas,95,735.3,22.89,Phoenix
2023-01-11,Chicken,87,1169.28,17.17,Phoenix
2023-01-11,Soda,33,543.51,15.09,Phoenix
2023-01-11,Chips,43,851.83,10.34,Phoenix
2023-01-11,Bread,77,1036.42,5.68,Phoenix
2023-01-12,Milk,12,45.48,20.94,New York
2023-01-12,Bananas,98,1422.96,19.84,New York
2023-01-12,Chicken,94,1750.28,17.52,New York
2023-01-12,Soda,78,1350.96,22.1,New York
2023-01-12,Chips,91,484.12,15.31,New York
2023-01-12,Bread,19,178.22,12.19,New York
2023-01-12,Milk,93,416.64,16.94,Los Angeles
2023-01-12,Bananas,12,230.88,11.31,Los Angeles
2023-01-12,Chicken,79,466.1,20.46,Los Angeles
2023-01-12,Soda,96,318.72,8.3,Los Angeles
2023-01-12,Chips,37,382.58,12.76,Los Angeles
2023-01-12,Bread,39,166.53,13.87,Los Angeles
2023-01-12,Milk,99,750.42,16.0,Chicago
2023-01-12,Bananas,84,493.92,15.9,Chicago
2023-01-12,Chicken,70,1061.2,18.61,Chicago
2023-01-12,Soda,67,1320.57,15.06,Chicago
2023-01-12,Chips,72,868.32,13.84,Chicago
2023-01-12,Bread,90,1020.6,13.77,Chicago
2023-01-12,Milk,52,936.0,14.21,Houston
2023-01-12,Bananas,84,883.68,13.84,Houston
2023-01-12,Chicken,86,1498.12,9.92,Houston
2023-01-12,Soda,64,215.68,17.25,Houston
2023-01-12,Chips,46,93.38,17.5,Houston
2023-01-12,Bread,45,446.85,8.08,Houston
2023-01-12,Milk,32,195.52,15.72,Phoenix
2023-01-12,Bananas,86,1191.96,20.46,Phoenix
2023-01-12,Chicken,10,150.0,18.1,Phoenix
2023-01-12,Soda,82,1141.44,13.46,Phoenix
2023-01-12,Chips,43,238.65,20.04,Phoenix
2023-01-12,Bread,74,1060.42,13.05,Phoenix
2023-01-13,Milk,84,830.76,15.16,New York
2023-01-13,Bananas,87,277.53,8.86,New York
2023-01-13,Chicken,28,553.28,6.32,New York
2023-01-13,Soda,95,548.15,13.39,New York
2023-01-13,Chips,95,1032.65,22.07,New York
2023-01-13,Bread,84,729.96,13.2,New York
2023-01-13,Milk,57,206.34,20.34,Los Angeles
2023-01-13,Bananas,99,297.0,9.56,Los Angeles
2023-01-13,Chicken,51,400.35,7.57,Los Angeles
2023-01-13,Soda,16,40.16,7.99,Los Angeles
2023-01-13,Chips,41,415.33,24.0,Los Angeles
2023-01-13,Bread,92,509.68,18.0,Los Angeles
2023-01-13,Milk,55,308.55,18.78,Chicago
2023-01-13,Bananas,67,737.67,20.8,Chicago
2023-01-13,Chicken,55,136.4,11.67,Chicago
2023-01-13,Soda,47,676.33,16.03,Chicago
2023-01-13,Chips,80,1491.2,8.49,Chicago
2023-01-13,Bread,84,890.4,24.57,Chicago
2023-01-13,Milk,66,1090.32,19.87,Houston
2023-01-13,Bananas,20,352.4,13.63,Houston
2023-01-13,Chicken,24,130.32,24.68,Houston
2023-01-13,Soda,83,1065.72,21.52,Houston
2023-01-13,Chips,60,624.6,15.08,Houston
2023-01-13,Bread,25,273.25,20.09,Houston
2023-01-13,Milk,97,807.04,7.05,Phoenix
2023-01-13,Bananas,88,1585.76,13.42,Phoenix
2023-01-13,Chicken,65,705.9,21.49,Phoenix
2023-01-13,Soda,34,279.82,23.3,Phoenix
2023-01-13,Chips,79,838.98,23.05,Phoenix
2023-01-13,Bread,32,112.0,13.61,Phoenix
2023-01-14,Milk,18,243.0,12.51,New York
2023-01-14,Bananas,88,439.12,21.38,New York
2023-01-14,Chicken,10,163.9,17.08,New York
2023-01-14,Soda,74,515.04,15.24,New York
2023-01-14,Chips,69,968.07,15.0,New York
2023-01-14,Bread,61,415.41,23.35,New York
2023-01-14,Milk,83,253.98,22.1,Los Angeles
2023-01-14,Bananas,22,148.5,20.17,Los Angeles
2023-01-14,Chicken,62,562.34,7.78,Los Angeles
2023-01-14,Soda,70,492.1,7.84,Los Angeles
2023-01-14,Chips,20,212.6,18.89,Los Angeles
2023-01-14,Bread,85,1087.15,18.04,Los Angeles
2023-01-14,Milk,47,301.74,11.31,Chicago
2023-01-14,Bananas,13,60.84,5.6,Chicago
2023-01-14,Chicken,49,668.85,15.0,Chicago
2023-01-14,Soda,87,1289.34,12.23,Chicago
2023-01-14,Chips,22,350.24,6.27,Chicago
2023-01-14,Bread,56,602.56,8.38,Chicago
2023-01-14,Milk,100,1105.0,18.5,Houston
2023-01-14,Bananas,69,1232.34,6.09,Houston
2023-01-14,Chicken,38,330.6,15.57,Houston
2023-01-14,Soda,56,694.4,23.08,Houston
2023-01-14,Chips,83,1265.75,11.95,Houston
2023-01-14,Bread,29,553.61,8.78,Houston
2023-01-14,Milk,57,428.07,19.41,Phoenix
2023-01-14,Bananas,73,879.65,19.28,Phoenix
2023-01-14,Chicken,29,324.51,16.42,Phoenix
2023-01-14,Soda,99,1204.83,13.2,Phoenix
2023-01-14,Chips,28,219.8,9.49,Phoenix
2023-01-14,Bread,91,1092.91,5.78,Phoenix
2023-01-15,Milk,14,43.54,19.58,New York
2023-01-15,Bananas,62,887.84,18.17,New York
2023-01-15,Chicken,30,78.9,18.56,New York
2023-01-15,Soda,14,125.16,18.55,New York
2023-01-15,Chips,67,804.0,7.51,New York
2023-01-15,Bread,71,474.99,19.87,New York
2023-01-15,Milk,29,414.7,6.88,Los Angeles
2023-01-15,Bananas,66,1248.72,17.83,Los Angeles
2023-01-15,Chicken,71,1264.51,12.17,Los Angeles
2023-01-15,Soda,73,225.57,18.96,Los Angeles
2023-01-15,Chips,41,540.79,8.21,Los Angeles
2023-01-15,Bread,92,1630.24,11.59,Los Angeles
2023-01-15,Milk,23,380.65,14.45,Chicago
2023-01-15,Bananas,94,751.06,6.52,Chicago
2023-01-15,Chicken,11,85.47,20.95,Chicago
2023-01-15,Soda,100,260.0,6.97,Chicago
2023-01-15,Chips,53,709.67,15.32,Chicago
2023-01-15,Bread,13,208.78,13.45,Chicago
2023-01-15,Milk,32,472.0,9.49,Houston
2023-01-15,Bananas,94,1225.76,7.28,Houston
2023-01-15,Chicken,75,360.75,23.12,Houston
2023-01-15,Soda,39,625.95,5.42,Houston
2023-01-15,Chips,34,331.5,13.08,Houston
2023-01-15,Bread,42,446.46,20.75,Houston
2023-01-15,Milk,60,161.4,20.56,Phoenix
2023-01-15,Bananas,59,693.25,5.62,Phoenix
2023-01-15,Chicken,87,1018.77,17.64,Phoenix
2023-01-15,Soda,92,993.6,6.0,Phoenix
2023-01-15,Chips,56,423.36,10.07,Phoenix
2023-01-15,Bread,57,369.93,5.88,Phoenix
2023-01-16,Milk,83,863.2,11.17,New York
2023-01-16,Bananas,43,376.25,10.58,New York
2023-01-16,Chicken,42,118.44,21.35,New York
2023-01-16,Soda,85,1402.5,11.25,New York
2023-01-16,Chips,54,135.54,8.14,New York
2023-01-16,Bread,85,537.2,6.71,New York
2023-01-16,Milk,60,1147.8,22.9,Los Angeles
2023-01-16,Bananas,25,306.75,6.76,Los Angeles
2023-01-16,Chicken,59,620.68,22.89,Los Angeles
2023-01-16,Soda,70,473.2,23.6,Los Angeles
2023-01-16,Chips,80,216.0,9.78,Los Angeles
2023-01-16,Bread,46,414.46,14.06,Los Angeles
2023-01-16,Milk,19,137.94,23.7,Chicago
2023-01-16,Bananas,19,234.08,10.03,Chicago
2023-01-16,Chicken,86,750.78,6.2,Chicago
2023-01-16,Soda,40,197.2,6.77,Chicago
2023-01-16,Chips,57,661.2,24.74,Chicago
2023-01-16,Bread,47,207.27,22.5,Chicago
2023-01-16,Milk,63,724.5,20.22,Houston
2023-01-16,Bananas,100,1182.0,7.41,Houston
2023-01-16,Chicken,57,934.8,11.67,Houston
2023-01-16,Soda,46,248.4,21.45,Houston
2023-01-16,Chips,93,1762.35,8.84,Houston
2023-01-16,Bread,83,253.98,5.36,Houston
2023-01-16,Milk,49,459.13,11.6,Phoenix
2023-01-16,Bananas,37,241.98,23.77,Phoenix
2023-01-16,Chicken,17,272.85,10.07,Phoenix
2023-01-16,Soda,99,425.7,14.17,Phoenix
2023-01-16,Chips,85,636.65,16.94,Phoenix
2023-01-16,Bread,57,950.19,22.15,Phoenix
2023-01-17,Milk,38,234.46,14.11,New York
2023-01-17,Bananas,87,370.62,10.2,New York
2023-01-17,Chicken,36,670.68,10.52,New York
2023-01-17,Soda,34,228.48,20.53,New York
2023-01-17,Chips,98,1858.08,15.75,New York
2023-01-17,Bread,65,1095.9,8.09,New York
2023-01-17,Milk,57,600.78,8.71,Los Angeles
2023-01-17,Bananas,13,146.12,8.77,Los Angeles
2023-01-17,Chicken,93,1621.92,20.19,Los Angeles
2023-01-17,Soda,23,402.73,11.18,Los Angeles
2023-01-17,Chips,97,1027.23,19.93,Los Angeles
2023-01-17,Bread,52,193.96,9.84,Los Angeles
2023-01-17,Milk,83,1158.68,24.89,Chicago
2023-01-17,Bananas,28,140.56,7.49,Chicago
2023-01-17,Chicken,16,288.96,6.44,Chicago
2023-01-17,Soda,36,307.8,21.85,Chicago
2023-01-17,Chips,49,216.58,7.58,Chicago
2023-01-17,Bread,74,1078.92,5.6,Chicago
2023-01-17,Milk,55,852.5,11.39,Houston
2023-01-17,Bananas,64,649.6,19.63,Houston
2023-01-17,Chicken,81,1132.38,21.74,Houston
2023-01-17,Soda,75,767.25,22.37,Houston
2023-01-17,Chips,10,191.2,21.4,Houston
2023-01-17,Bread,21,299.67,9.29,Houston
2023-01-17,Milk,78,894.66,15.24,Phoenix
2023-01-17,Bananas,83,549.46,23.1,Phoenix
2023-01-17,Chicken,49,196.49,16.43,Phoenix
2023-01-17,Soda,74,1240.98,9.54,Phoenix
2023-01-17,Chips,73,894.98,16.51,Phoenix
2023-01-17,Bread,75,1194.0,23.94,Phoenix
2023-01-18,Milk,51,104.55,24.6,New York
2023-01-18,Bananas,45,144.9,11.68,New York
2023-01-18,Chicken,92,273.24,9.36,New York
2023-01-18,Soda,82,620.74,10.25,New York
2023-01-18,Chips,88,1635.04,24.48,New York
2023-01-18,Bread,18,56.7,9.59,New York
2023-01-18,Milk,74,749.62,22.78,Los Angeles
2023-01-18,Bananas,18,245.52,10.64,Los Angeles
2023-01-18,Chicken,95,373.35,10.27,Los Angeles
2023-01-18,Soda,85,491.3,9.42,Los Angeles
2023-01-18,Chips,81,838.35,7.81,Los Angeles
2023-01-18,Bread,69,388.47,5.83,Los Angeles
2023-01-18,Milk,78,975.78,13.09,Chicago
2023-01-18,Bananas,30,91.5,20.2,Chicago
2023-01-18,Chicken,94,1016.14,8.41,Chicago
